id,title,content,published,url,media_url,category
1,Sample Entry Title,This is a sample content for the entry.,2024-10-08 12:00:00,http://example.com/sample-entry,http://example.com/media/sample-image.jpg,Sample Category
2,"Some on-air claims about Dominion Voting Systems were false, Fox News acknowledges in statement after deal is announced",,2023-04-19 12:44:51,https://www.cnn.com/business/live-news/fox-news-dominion-trial-04-18-23/index.html,https://cdn.cnn.com/cnnnext/dam/assets/230418164538-02-dominion-fox-trial-settlement-0418-super-169.jpg,Others
3,Dominion still has pending lawsuits against election deniers such as Rudy Giuliani and Sidney Powell,,,https://www.cnn.com/business/live-news/fox-news-dominion-trial-04-18-23/h_8d51e3ae2714edaa0dace837305d03b8,https://cdn.cnn.com/cnnnext/dam/assets/230417170417-fox-news-headquarters-0228-super-169.jpg,Terrorism / Protest / Political Unrest / Riot
4,Here are the 20 specific Fox broadcasts and tweets Dominion says were defamatory,"• Fox-Dominion trial delay 'is not unusual,' judge says
• Fox News' defamation battle isn't stopping Trump's election lies",2023-04-17 16:01:11,https://www.cnn.com/2023/04/17/media/dominion-fox-news-allegations/index.html,https://cdn.cnn.com/cnnnext/dam/assets/230416140110-maria-bartiromo-file-020823-restricted-super-169.jpg,Terrorism / Protest / Political Unrest / Riot
5,Judge in Fox News-Dominion defamation trial: 'The parties have resolved their case',The judge just announced in court that a settlement has been reached in the historic defamation case between Fox News and Dominion Voting Systems.,2023-04-19 08:28:17,https://www.cnn.com/2023/04/18/media/fox-dominion-settlement/index.html,https://cdn.cnn.com/cnnnext/dam/assets/230418112020-02-delaware-fox-dominion-trial-court-exterior-0418-super-169.jpg,Others
6,'Difficult to say with a straight face': Tapper reacts to Fox News' statement on settlement,"A settlement has been reached in Dominion Voting Systems' defamation case against Fox News, the judge for the case announced. The network will pay more than $787 million to Dominion, a lawyer for the company said.",2023-04-18 21:17:44,https://www.cnn.com/videos/politics/2023/04/18/jake-tapper-dominion-lawsuit-settlement-fox-news-statement-lead-vpx.cnn,https://cdn.cnn.com/cnnnext/dam/assets/230418164748-tapper-smile-vpx-super-169.jpg,Terrorism / Protest / Political Unrest / Riot
7,Millions in the US could face massive consequences unless McCarthy can navigate out of a debt trap he set for Biden,"• DeSantis goes to Washington, a place he once despised, looking for support to take on Trump
• Opinion: For the GOP to win, it must ditch Trump
• Chris Christie mulling 2024 White House bid
• Analysis: The fire next time has begun burning in Tennessee",2023-04-18 20:34:45,https://www.cnn.com/2023/04/18/politics/mccarthy-biden-debt-ceiling/index.html,https://cdn.cnn.com/cnnnext/dam/assets/230417222359-mccarthy-biden-debt-ceiling-042023-super-169.jpg,Others
8,White homeowner accused of shooting a Black teen who rang his doorbell turns himself in to face criminal charges,"• 'A major part of Ralph died': Aunt of teen shot after ringing wrong doorbell speaks
• 20-year-old woman shot after friend turned into the wrong driveway in upstate New York, officials say",2023-04-19 04:29:05,https://www.cnn.com/2023/04/18/us/kansas-city-ralph-yarl-shooting-tuesday/index.html,https://cdn.cnn.com/cnnnext/dam/assets/230417181520-03b-ralph-yarl-cropped-super-169.jpg,Terrorism / Protest / Political Unrest / Riot
9,Newly released video shows scene of Jeremy Renner's snowplow accident,"Newly released body camera footage shows firefighters and sheriff's deputies rushing to help actor Jeremy Renner after a near-fatal snowplow accident in January. The ""Avengers"" actor broke more than 30 bones and suffered other severe injuries. CNN's Chloe Melas has more.",2023-04-18 14:09:43,https://www.cnn.com/videos/us/2023/04/18/jeremy-renner-snowplow-accident-bodycam-nc-melas-contd-vpx.cnn,https://cdn.cnn.com/cnnnext/dam/assets/230418093916-jeremy-renner-snowplow-body-cam-super-169.jpg,Natural Disasters
10,Jake Gyllenhaal and Jamie Lee Curtis spent the Covid-19 lockdown together,It's sourdough bread and handstands for Jake Gyllenhaal and Jamie Lee Curtis.,2023-04-18 14:40:32,https://www.cnn.com/2023/04/18/entertainment/jake-gyllenhaal-jamie-lee-curtis-pandemic-living/index.html,https://cdn.cnn.com/cnnnext/dam/assets/230418143926-jake-gyllenhaal-jamie-lee-curtis-041723-super-169.jpeg,Others
11,"Toddler crawls through White House fence, prompts Secret Service response","A tiny intruder infiltrated White House grounds Tuesday, prompting a swift response from the US Secret Service.",2023-04-18 17:38:16,https://www.cnn.com/2023/04/18/politics/white-house-toddler/index.html,https://cdn.cnn.com/cnnnext/dam/assets/230418130032-01-white-house-toddler-super-169.jpg,Others
12,Jamie Foxx remains hospitalized nearly a week after 'medical complication',"Jamie Foxx remains hospitalized in Georgia nearly a week after his daughter revealed the actor experienced a ""medical complication,"" a source with knowledge of the matter told CNN on Monday.",2023-04-18 00:27:07,https://www.cnn.com/2023/04/17/entertainment/jamie-foxx-remains-hospitalized/index.html,https://cdn.cnn.com/cnnnext/dam/assets/230417195159-jamie-foxx-health-update-042023-super-169.jpg,Others
13,A 13-year-old dies after participating in a Benadryl TikTok 'challenge',"A 13-year-old in Ohio has died after ""he took a bunch of Benadryl,"" trying a dangerous TikTok challenge that's circulating online, according to a CNN affiliate and a GoFundMe account from his family.",2023-04-19 15:01:06,https://www.cnn.com/2023/04/18/us/benadryl-tiktok-challenge-teen-death-wellness/index.html,https://cdn.cnn.com/cnnnext/dam/assets/230418141115-jacob-stevens-gofundme-super-169.jpg,Others
14,See pizza delivery guy take out suspect fleeing police,"Pizza guy delivers more than a pie, taking out a fleeing suspect. CNN's Jeanne Moos shows him putting his best foot forward.",2023-04-18 16:40:22,https://www.cnn.com/videos/us/2023/04/18/pizza-guy-trips-perp-moos-cprog-orig-bdk.cnn,https://cdn.cnn.com/cnnnext/dam/assets/230418122318-pizza-delivery-guy-trips-perp-split-super-169.jpg,Terrorism / Protest / Political Unrest / Riot
